# diff_v,diff_w,# v_mps,w_radps,dt_s,cmd_v,cmd_w,a_v,a_w,err_v,err_w,v_x_w
0.043241567011243154,-0.019423847233341646,0.9621803724475808,-0.12985855157287432,0.05,0.9538208960381724,-0.19044980537441028,0.8648313402248631,-0.3884769446668329,-0.008359476409408373,-0.06059125380153596,-0.12494734951789159
0.02109130449035046,-0.036539505131658934,0.9832716769379313,-0.16639805670453325,0.05,1.0,-0.21210221774110075,0.4218260898070092,-0.7307901026331787,0.01672832306206873,-0.04570416103656749,-0.1636144962550794
0.028545160307690498,0.003196695550040596,1.0118168372456218,-0.16320136115449266,0.05,0.9902428421645599,-0.19161263962933273,0.57090320615381,0.06393391100081192,-0.021573995081061836,-0.028411278474840068,-0.16512988507751925
0.014453601347733436,0.012509128743510262,1.0262704385933552,-0.1506922324109824,0.05,0.9902428421645599,-0.19161263962933273,0.2890720269546687,0.25018257487020523,-0.03602759642879527,-0.04092040721835033,-0.15465098344903072
0.012775540627702586,0.0231801754387711,1.0390459792210578,-0.1275120569722113,0.05,0.9907080966927885,-0.18944495480079349,0.2555108125540517,0.463603508775422,-0.048337882528269316,-0.06193289782858219,-0.1324908900991826
0.00021883123373145352,0.002690242881491875,1.0392648104547892,-0.12482181409071942,0.05,0.9999999999999999,-0.20051189298520494,0.0043766246746290705,0.0538048576298375,-0.039264810454789356,-0.07569007889448552,-0.12972291896161445
0.011744608384080424,0.018639571030446,1.0510094188388697,-0.10618224306027342,0.05,1.0,-0.19603260704256384,0.23489216768160848,0.37279142060892,-0.05100941883886967,-0.08985036398229042,-0.11159853756978556
0.01686319646136414,0.025653939654922145,1.0678726153002338,-0.08052830340535128,0.05,1.0,-0.19603260704256384,0.33726392922728277,0.5130787930984428,-0.06787261530023381,-0.11550430363721256,-0.08599396996316319
0.011596651173258365,0.019562685783544025,1.0794692664734922,-0.06096561762180725,0.05,0.9866514572974295,-0.15388922496330742,0.2319330234651673,0.39125371567088046,-0.09281780917606264,-0.09292360734150018,-0.06581051053431568
-0.0038634692943533278,0.0020420179267651994,1.0756057971791388,-0.05892359969504205,0.05,0.8747017169821095,-0.14363379250785357,-0.07726938588706656,0.04084035853530399,-0.20090408019702932,-0.08471019281281153,-0.06337856542265016
