# diff_v,diff_w,# v_mps,w_radps,dt_s,cmd_v,cmd_w,a_v,a_w,err_v,err_w,v_x_w
-0.012311493389648653,-0.023223270775606986,0.5483422420370018,0.18927114128361625,0.05,0.4588967351265573,0.2516031177467766,-0.24622986779297307,-0.4644654155121397,-0.08944550691044445,0.06233197646316033,0.10378536196436025
0.016678068507195665,-0.004375286840032799,0.5650203105441974,0.18489585444358345,0.05,0.469879384620416,0.2566106402463341,0.3335613701439133,-0.08750573680065599,-0.09514092592378143,0.07171478580275067,0.10446991309604825
-0.0027979731726980317,0.015762164115303512,0.5622223373714994,0.20065801855888696,0.05,0.469879384620416,0.2566106402463341,-0.055959463453960634,0.31524328230607024,-0.0923429527510834,0.05595262168744716,0.11281442020651113
-0.03771089490564805,0.04203329708630127,0.5245114424658514,0.24269131564518823,0.05,0.3656278509681477,0.27585965129151646,-0.754217898112961,0.8406659417260254,-0.15888359149770365,0.033168335646328234,0.1272943720429929
-0.035792310378237824,0.03448024094846722,0.48871913208761353,0.27717155659365544,0.05,0.46112584914378196,0.23713997456373587,-0.7158462075647565,0.6896048189693443,-0.027593282943831565,-0.04003158202991958,0.13545904257782415
-0.04959680282397372,0.04916559108375779,0.4391223292636398,0.32633714767741323,0.05,0.49754339698712763,0.24539437900047043,-0.9919360564794744,0.9833118216751557,0.05842106772348782,-0.0809427686769428,0.1433019284133581
0.018320316341115805,-0.054507864711591136,0.4574426456047556,0.2718292829658221,0.05,0.49754339698712763,0.24539437900047043,0.3664063268223161,-1.0901572942318227,0.04010075138237201,-0.02643490396535167,0.12434630635272939
0.0032023932002181454,-0.04523598114538602,0.46064503880497376,0.22659330182043608,0.05,0.3151910710229547,0.22613085990224957,0.06404786400436291,-0.9047196229077203,-0.14545396778201908,-0.00046244191818650693,0.10437908031002191
-0.012933480748031134,-0.024287358774993995,0.4477115580569426,0.20230594304544208,0.05,0.2108365931365449,0.28566338462707624,-0.2586696149606227,-0.4857471754998799,-0.23687496492039772,0.08335744158163416,0.09057470896505397
-0.03180866638153501,0.011244393085005133,0.4159028916754076,0.21355033613044722,0.05,0.2108365931365449,0.28566338462707624,-0.6361733276307002,0.22488786170010266,-0.2050662985388627,0.07211304849662903,0.08881620231490828
