#diff_v,diff_w,# v_mps,w_radps,dt_s,cmd_v,cmd_w
-0.06200013468699256,-0.02461199658916305,-0.329974139882974,-0.18300210336896547,0.05,-0.7,-0.1994048611862525
-0.05999273112360615,-0.01711826396605265,-0.3899668710065802,-0.20012036733501812,0.05,-0.7,-0.1786419662255444
-0.06649678878723425,-0.0008019167958441542,-0.4564636597938144,-0.20092228413086227,0.05,-0.7,-0.19008870066510197
-0.06713643081289278,0.005860823574584784,-0.5236000906067072,-0.1950614605562775,0.05,-0.7,-0.19008870066510197
-0.06436136876963383,0.01243037386147941,-0.587961459376341,-0.18263108669479808,0.05,-0.7,-0.1934647214125452
-0.06150352292486028,0.01738251690074774,-0.6494649823012013,-0.16524856979405034,0.05,-0.7,-0.16084507149776756
-0.05372565849216193,0.028243551676380846,-0.7031906407933632,-0.1370050181176695,0.05,-0.7,-0.16084362652777484
-0.04436550026865538,0.03698282517077042,-0.7475561410620186,-0.10002219294689907,0.05,-0.7,-0.16084362652777484
-0.020029707606666336,0.019543883431035317,-0.767585848668685,-0.08047830951586375,0.05,-0.7,-0.14657356250292147
-0.03119676365404178,0.04219123556758583,-0.7987826123227267,-0.03828707394827792,0.05,-0.7,-0.11646864216922015
0.06430176699041057,-0.08745992829259173,-0.7344808453323162,-0.12574700224086965,0.05,-0.7,-0.12423338329386498
0.03322388979768309,-0.037839966522537904,-0.7012569555346331,-0.16358696876340756,0.05,-0.7,-0.12423338329386498
0.0393677119724013,-0.03767274153702163,-0.6618892435622318,-0.2012597103004292,0.05,-0.7,-0.1511810511944388
0.009662902478161595,0.013236662187064235,-0.6522263410840702,-0.18802304811336495,0.05,-0.7,-0.15523708889391535
-0.023161635168850503,0.05574279800607393,-0.6753879762529207,-0.13228025010729103,0.05,-0.7,-0.16250912124410807
0.004548254520839956,-0.0010458875840628767,-0.6708397217320807,-0.1333261376913539,0.05,-0.7,-0.16250912124410807
0.0038619333565219627,-0.02261804859776681,-0.6669777883755588,-0.1559441862891207,0.05,-0.7,-0.20172371711088902
0.0019066310922700724,-0.019888338286393137,-0.6650711572832887,-0.17583252457551385,0.05,-0.7,-0.14765382517543893
0.00678987265002895,-0.023956096350423117,-0.6582812846332597,-0.19978862092593697,0.05,-0.7,-0.15684387131554614
-0.017131633449373074,0.020966384295638296,-0.6754129180826328,-0.17882223663029867,0.05,-0.7,-0.15684387131554614
0.03021208348792237,-0.0386641241076964,-0.6452008345947104,-0.21748636073799507,0.05,-0.7,-0.0930239251439231
0.009872948650284541,0.0036788444137016707,-0.6353278859444259,-0.2138075163242934,0.05,-0.7,-0.08813898604897916
-0.010409588572437678,0.03325448904690573,-0.6457374745168636,-0.18055302727738767,0.05,-0.6979513957204385,-0.09594156104410845
0.008105106067589185,-0.003456235788316192,-0.6376323684492744,-0.18400926306570387,0.05,-0.6979513957204385,-0.09594156104410845
-0.0491796247778552,0.07527445730876406,-0.6868119932271296,-0.1087348057569398,0.05,-0.5175899957781358,-0.1127391260503157
0.031127714323673117,-0.031323680536266385,-0.6556842789034565,-0.1400584862932062,0.05,-0.26779142999709465,-0.08828247894986925
-0.006017175700505195,0.05498009499818557,-0.6617014546039617,-0.08507839129502062,0.05,-0.25340512862191433,-0.08856750087831734
0.06863928332770841,-0.03735552405078782,-0.5930621712762533,-0.12243391534580844,0.05,-0.25340512862191433,-0.08856750087831734
0.03902464266599648,0.021760237676113847,-0.5540375286102568,-0.1006736776696946,0.05,0.920086672526076,0.09322915260190043
0.05530289663237625,0.021992342159373762,-0.49873463197788054,-0.07868133551032083,0.05,0.9746528247792556,0.13594390822871846
0.052257707732025205,0.052599358405807276,-0.44647692424585533,-0.026081977104513553,0.05,0.8605442364683994,0.13392883686827267
0.04817303370784404,0.0734497453054601,-0.3983038905380113,0.04736776820094655,0.05,0.8605442364683994,0.13392883686827267
0.0616506345410634,0.02560920673824941,-0.3366532559969479,0.07297697493919596,0.05,0.8242210726532695,0.16957140093363204
0.04364552452981707,0.03181995035706765,-0.2930077314671308,0.10479692529626361,0.05,1.0,0.15125375769076518
0.06284672429132357,-0.014880984752952492,-0.23016100717580726,0.08991594054331112,0.05,0.9105161610066455,0.14896025944526606
0.03409900404116048,0.02413078863750913,-0.19606200313464678,0.11404672918082025,0.05,0.9105161610066455,0.14896025944526606
0.037601782770811,0.013190965135139884,-0.15846022036383578,0.12723769431596013,0.05,0.9426041351733431,0.1812763004744158
0.0441563639412324,-0.0023079439613671177,-0.11430385642260338,0.12492975035459301,0.05,0.9590588811524301,0.1514245752311229
0.03630614518857707,-0.003469152593292238,-0.07799771123402631,0.12146059776130078,0.05,0.9584480264602026,0.1500290696885766
0.14228338296473825,-0.03062476964095523,0.06428567173071195,0.09083582812034555,0.05,1.0,0.08875330429636077
0.045823676074642924,0.001843859193389752,0.11010934780535488,0.0926796873137353,0.05,1.0,0.09325195143859782
0.05220191808832579,0.0035231410762214393,0.16231126589368067,0.09620282838995674,0.05,1.0,0.09325195143859782
0.04626668897972877,-0.0027184718374183847,0.20857795487340944,0.09348435655253835,0.05,1.0,0.10300662859580534
0.05225838210720987,0.0041953527373135985,0.2608363369806193,0.09767970928985195,0.05,1.0,0.09463112338768248
0.05374100609916338,7.806672053790875e-05,0.3145773430797827,0.09775777601038986,0.05,1.0,0.0961161429978791
0.05194659388303635,-0.0027343933646879204,0.36652393696281904,0.09502338264570194,0.05,1.0,0.0961161429978791
0.04821754224035679,-0.013468364048369943,0.41474147920317583,0.081555018597332,0.05,1.0,0.11074390666909797
0.04554723965485252,-0.019711100967101942,0.46028871885802836,0.061843917630230054,0.05,1.0,0.0925809411309366
0.04949673117056752,-0.015640546883876047,0.5097854500285959,0.04620337074635401,0.05,1.0,0.09487451834313758
0.04732854356963023,-0.00801539463677281,0.5571139935982261,0.0381879761095812,0.05,1.0,0.09487451834313758
0.04527098101077642,0.009974262530033522,0.6023849746090025,0.04816223863961472,0.05,0.936944246110817,0.12336141289110639
